id,active,resourcetype,coding_code,coding_display,organization_id,practitioner_id,meta_lastupdated,_airbyte_emitted_at,rn
45e45ecb-a071-400c-8143-ddc6dac8edbc,true,PractitionerRole,,,,029b25f4-54ce-4edd-8794-004ac81bfc07,2025-08-15T11:53:07.460+00:00,2025-08-28 07:25:56.161+00,1
c3545c9f-5617-4524-8727-45486bcf2985,true,PractitionerRole,,,92dd11a8-2635-476b-a8d0-573cf74d4487,0eb40af8-ddd0-4d8e-85a5-d3b3bb1022e7,2024-07-11T07:56:34.809+00:00,2025-08-28 07:25:56.15+00,1
bdb5e88c-9ee4-4394-8353-ad0163ce0b4d,true,PractitionerRole,,,,113e19aa-311d-472c-ad04-9517758f4b5c,2025-08-15T11:10:36.248+00:00,2025-08-28 07:25:56.156+00,1
ec279f1e-bef1-4458-8eea-2f7adf8d984c,true,PractitionerRole,,,,13665957-56c9-4948-be77-9abf3c0d9647,2025-08-15T12:01:55.018+00:00,2025-08-28 07:25:56.165+00,1
0ea5e7f1-dce8-40e4-8ff1-5f0b2067d7ff,true,PractitionerRole,,,,1525fa16-7379-4f04-bf55-8a04267fa00b,2025-08-15T12:06:40.598+00:00,2025-08-28 07:25:56.168+00,1
3d338008-cbad-4837-a0c6-ba2bb0f4abe4,true,PractitionerRole,,,,1bb94aaa-b699-4427-a626-3b728c037a86,2025-08-15T12:11:12.379+00:00,2025-08-28 07:25:56.17+00,1
3d6fe59c-8914-404b-98c0-6c149715518f,true,PractitionerRole,,,,231fc2f4-c381-4027-8508-c80a1b19a59b,2025-08-15T12:14:28.879+00:00,2025-08-28 07:25:56.173+00,1
803e03b0-5af7-4472-a6bc-f264493b571e,true,PractitionerRole,,,,26c0a862-2091-4eb2-9d8b-b7a405c2f071,2025-08-15T12:05:59.169+00:00,2025-08-28 07:25:56.168+00,1
2f750bfd-1d6c-41ed-9741-ba1a8d6d53b4,true,PractitionerRole,,,,2dfae68d-d9b2-4da4-9c66-a1ccfce5254a,2025-08-15T12:04:17.723+00:00,2025-08-28 07:25:56.167+00,1
27ceadd3-1cf7-4c8d-a073-0e4fe6d477e6,true,PractitionerRole,,,,31c01042-1a9b-4754-a1d0-c515f9309b93,2025-08-15T11:58:40.025+00:00,2025-08-28 07:25:56.164+00,1
d7d8d392-d3ee-48d9-bced-6006a5ebe4b1,true,PractitionerRole,,,,326a1d19-2829-4986-932d-dac0eb97cb1b,2025-08-15T12:05:25.123+00:00,2025-08-28 07:25:56.167+00,1
63a0e01f-0269-467c-bfce-8c08edd628b3,true,PractitionerRole,,,,34dc65ce-e049-4cdb-b136-8981eac11039,2025-08-15T11:11:46.543+00:00,2025-08-28 07:25:56.156+00,1
71dcb181-17f1-4779-8734-eff368f848d1,true,PractitionerRole,,,,3530ad0b-1bb8-44df-9914-5add3defd92e,2025-08-15T12:03:43.121+00:00,2025-08-28 07:25:56.166+00,1
a7dee842-436d-4039-9302-7cd4f541c220,true,PractitionerRole,,,,37a1d4b6-a3c4-49ce-8b74-218e12e05240,2025-08-15T11:46:59.080+00:00,2025-08-28 07:25:56.157+00,1
f3423f82-0031-48fc-a5bd-1189e3f76bb8,true,PractitionerRole,,,,3a0ba2f1-3c0e-4a43-baa0-896950a392a6,2025-07-11T06:19:41.388+00:00,2025-08-28 07:25:56.153+00,1
bc3da889-4e0a-4a1e-aec6-be2c0b84cdfe,true,PractitionerRole,,,,3d0447af-93bd-4c6c-a3a0-2e111149f2eb,2025-08-15T11:59:43.048+00:00,2025-08-28 07:25:56.165+00,1
d53785dd-f362-4d8f-bcb5-68dd7b3669c7,true,PractitionerRole,,,,42ca7c6e-e337-4f89-b35f-374f1f2fb814,2025-09-05T12:19:22.070+00:00,2025-09-05 16:22:48.959+00,1
bdb9841f-7f9c-4152-b449-6fa21a75737b,true,PractitionerRole,,,,47289500-43ff-4a39-8bd6-8d4068519a05,2025-08-15T11:54:14.546+00:00,2025-08-28 07:25:56.162+00,1
2eb7d5a4-6d36-4d93-af8d-99cca875f61c,true,PractitionerRole,,,,4a1a3949-1e88-4756-a8da-c5fd6e5d884d,2025-08-15T08:29:48.899+00:00,2025-08-28 07:25:56.155+00,1
45b46c66-2814-43c9-8809-b943944e34eb,true,PractitionerRole,,,,4e0d8cdf-24c8-4e74-bb64-b552ff36f32d,2025-08-15T12:07:39.546+00:00,2025-08-28 07:25:56.168+00,1
